Officer.Name,Document,Shield..,Tax..,Precinct.Command
Andre O’Hara,<a href='https://web.archive.org/web/20220902164545/https://gothamist.com/news/most-expensive-nypd-lawsuits-2021-2022' target='_blank'>Details</a>,NA,NA,gun violence suppression division
Andrew Capul,<a href='https://web.archive.org/web/20220417191248/https://www.nytimes.com/2010/06/03/nyregion/03rape.html' target='_blank'>Details</a>,NA,NA,NA
Andrew Diaz,<a href='https://web.archive.org/web/20210311165741/https://www.nydailynews.com/new-york/ny-nypd-chase-queens-motorcycle-death-coverup-20201217-t64idhroybfivd56lqu7cd2l3i-story.html' target='_blank'>Details</a>,NA,NA,NA
Andrew J. Lombardo,<a href='https://web.archive.org/web/20191112231421/https://gothamist.com/news/from-abu-ghraib-to-black-lives-matter-meet-the-nypds-most-notorious-anti-activist-cop' target='_blank'>Details</a>,NA,NA,NA
Andrew Morales,<a href='https://web.archive.org/web/20180313204636/http://www.nydailynews.com/news/crime/nypd-kevin-maloney-testifies-officer-richard-kern-baton-michael-mineo-article-1.193731' target='_blank'>Details</a>,NA,NA,NA
Andrew P Dunton,<a href='https://web.archive.org/web/20201112013520/https://www.nytimes.com/2009/08/14/nyregion/14edwards.html' target='_blank'>Details</a>,NA,NA,NA
Andrew Schmitt,<a href='https://web.archive.org/web/20210311165152/https://www.nytimes.com/2020/11/15/nyregion/ccrb-nyc-police-misconduct.html' target='_blank'>Details</a>,NA,NA,NA
Andrew Thaler,<a href='https://web.archive.org/web/2/https://nypost.com/2018/01/01/ex-auxiliary-cop-says-nypd-bosses-pressured-her-for-sex-in-police-van/' target='_blank'>Details</a>,NA,NA,105
Andrew Valenzano,<a href='https://web.archive.org/web/20130325145445/http://www.nydailynews.com/new-york/testifies-called-rat-protesting-stop-and-frisk-quotas-article-1.1294612' target='_blank'>Details</a>,NA,NA,41
Andrew Yurkiw,<a href='https://web.archive.org/web/20180605080714/http://www.nydailynews.com/new-york/nyc-crime/ny-metro-beatdown-jury-verdict-against-nypd-20180604-story.html' target='_blank'>Details</a>,NA,NA,NA
Andrey Samusev,<a href='https://web.archive.org/web/20220414023125/https://gothamist.com/news/ccrb-substantiates-complaints-against-officers-who-drove-into-protestors-during-2020-protests' target='_blank'>Details</a>,NA,NA,NA
Andrey Samusev,<a href='https://web.archive.org/web/20221215063703/https://gothamist.com/news/nypd-cops-accused-of-driving-cruisers-into-brooklyn-protesters-in-2020-face-trial-today' target='_blank'>Details</a>,NA,NA,NA
Andrey Samusev,<a href='https://web.archive.org/web/20221215073812/https://gothamist.com/news/police-and-watchdogs-spar-during-trial-of-2-nypd-officers-who-drove-into-crowd-of-protesters-in-2020' target='_blank'>Details</a>,NA,NA,NA
Andris Bisogno,<a href='https://web.archive.org/web/20211215213110/https://brooklyneagle.com/articles/2019/09/09/killed-by-cops-list/' target='_blank'>Details</a>,NA,NA,NA
Angel Gonzalez,<a href='https://web.archive.org/web/20210304234121/https://legalnewsline.com/stories/574814212-hispanic-bronx-man-wrongfully-spent-two-years-in-jail-after-being-racially-profiled-lawsuit-says' target='_blank'>Details</a>,NA,NA,NA
Angel Herran,<a href='https://web.archive.org/web/20130325145445/http://www.nydailynews.com/new-york/testifies-called-rat-protesting-stop-and-frisk-quotas-article-1.1294612' target='_blank'>Details</a>,NA,NA,NA
ANGELA MARTINEZ,<a href='https://web.archive.org/web/20221005230936/https://patch.com/new-york/astoria-long-island-city/these-20-astoria-cops-have-committed-misconduct-new-database-shows' target='_blank'>Details</a>,NA,NA,114
Angelo Martino,<a href='https://web.archive.org/web/20220629011545/https://nyc.streetsblog.org/2020/10/19/speeding-cop-who-killed-bronx-woman-raises-questions-about-culture-of-nypds-road-recklessness/' target='_blank'>Details</a>,NA,NA,NA
Aniello Napoli,<a href='https://web.archive.org/web/20220414180404/https://twitter.com/awinston/status/1443605934828367880' target='_blank'>Details</a>,NA,NA,"Strategic Response Group 5, Staten Island"
Ann Marie Guerra,<a href='https://web.archive.org/web/20220627152410/https://www.nydailynews.com/new-york/nyc-crime/ny-panty-cop-loses-30-days-20220624-ec5nrh5blzcx5fuhf7smywspla-story.html' target='_blank'>Details</a>,NA,NA,72
Ann Marie Guerra,<a href='https://web.archive.org/web/20230403202710/https://nypost.com/2023/03/27/nypd-officer-who-stuffed-panties-in-underlings-mouth-to-be-promoted/' target='_blank'>Details</a>,NA,NA,72
Annette Montesdeoca,<a href='https://web.archive.org/web/20210801201317/https://www.nydailynews.com/new-york/nyc-crime/off-duty-24-arrested-drunken-driving-queens-crash-article-1.2952192' target='_blank'>Details</a>,NA,NA,79
Ansari,<a href='https://web.archive.org/web/20220419213316/https://www.brooklynpaper.com/ag-releases-body-cam-footage-from-fatal-police-shooting-of-eudes-pierre/' target='_blank'>Details</a>,NA,NA,NA
Anthony Amirally,<a href='https://web.archive.org/web/20221128001803/https://nypost.com/2022/11/25/these-nypd-officers-got-to-keep-their-jobs-despite-arrests/' target='_blank'>Details</a>,NA,NA,NA
Anthony Avosso,<a href='https://web.archive.org/web/20180302215315/https://www.nytimes.com/2018/03/02/nyregion/new-york-officer-is-accused-of-exposing-himself-to-female-colleagues.html' target='_blank'>Details</a>,NA,NA,60
Anthony Baresi,<a href='https://web.archive.org/web/20211215210402/https://www.thecity.nyc/2021/3/14/22330463/nypd-commissioners-cleared-guilty-cops-chokeholds-matrix' target='_blank'>Details</a>,NA,NA,NA
Anthony Bologna,<a href='https://web.archive.org/web/20170630104212/http://www.nydailynews.com/new-york/manhattan/nypd-pepper-sprayed-occupy-wall-street-protesters-retires-article-1.3282659' target='_blank'>Details</a>,NA,NA,NA
Anthony Bottiglieri,<a href='https://web.archive.org/web/20180728023123/http://www.nydailynews.com/new-york/ny-metro-vassell-cop-killers-id-20180727-story.html' target='_blank'>Details</a>,NA,NA,71
Anthony Bottiglieri,"<a href='https://web.archive.org/web/20211213213534/https://www.cjr.org/watchdog/saheed-vassell-police-brutality-victims.php#:~:text=The%20group%20had%20come%20for,Bekim%20Molic%2C%20and%20Omar%20Rafiq.' target='_blank'>Details</a>",NA,NA,NA
Anthony Chifalo,<a href='https://web.archive.org/web/20180223120056/http://www.nydailynews.com/new-york/nypd-fired-meth-lawyer-claims-test-bogus-article-1.3837078' target='_blank'>Details</a>,NA,NA,NA
Anthony Delacruz,<a href='https://web.archive.org/web/20220415180616/https://www.nydailynews.com/new-york/nyc-crime/nypd-accused-firing-service-weapon-stole-man-pants-article-1.3776634' target='_blank'>Details</a>,NA,NA,NA
Anthony Lagala,<a href='https://web.archive.org/web/20201112021353/https://www.silive.com/news/2013/10/staten_island_barbershop_sold.html' target='_blank'>Details</a>,NA,NA,17
Anthony Lagala,<a href='https://web.archive.org/web/20220422182305/https://nypost.com/2008/05/04/30g-e-z-tab-for-toll-beat-cop/' target='_blank'>Details</a>,NA,NA,NA
ANTHONY LISI,<a href='https://web.archive.org/web/20220913184914/https://www.justice.gov/usao-sdny/pr/former-nypd-sergeant-pleads-guilty-embezzlement-scheme-0' target='_blank'>Details</a>,NA,NA,NA
Anthony Longobardi,<a href='https://web.archive.org/web/20180111005428/https://nypost.com/2018/01/10/nypd-boss-created-illegal-smoking-lounge-at-station-house/' target='_blank'>Details</a>,NA,NA,62
Anthony Marciano,<a href='https://web.archive.org/web/20220831214252/https://abc7ny.com/nypd-scotus-vaccine-mandate-appeal/12179874/' target='_blank'>Details</a>,NA,NA,NA
Anthony Perrotto,<a href='https://web.archive.org/web/20210311165952/https://nypost.com/2020/11/19/bronx-das-sex-crime-unit-filled-with-sexual-harassment-lawsuit/' target='_blank'>Details</a>,NA,NA,NA
Anthony Peters,<a href='https://web.archive.org/web/20180227200246/http://www.nydailynews.com/new-york/busted-resisting-arrest-hitting-pedestrian-car-article-1.3844874' target='_blank'>Details</a>,NA,NA,PSA 4
Anthony Petroglia,<a href='https://web.archive.org/web/20170319003540/http://www.nydailynews.com/new-york/nypd-cops-duke-workplace-disputes-boxing-grudge-matches-article-1.3002294' target='_blank'>Details</a>,NA,NA,77
Anthony Sengco,<a href='https://web.archive.org/web/20180904110840/https://www.nytimes.com/2018/09/03/nyregion/harlem-restaurant-owner-employees-sue-city-for-wrongful-arrest.html' target='_blank'>Details</a>,NA,NA,28
Anthony Vasquez,<a href='https://web.archive.org/web/20220421152907/https://www.huffpost.com/entry/killed-by-the-nypd-black-men_n_5600045' target='_blank'>Details</a>,NA,NA,NA
Apollo Story,<a href='https://web.archive.org/web/20220818202807/https://www.nydailynews.com/new-york/nyc-crime/ny-nypd-suspension-steroids-20220816-kwn72sk5nnfvngrrti3xyuu64e-story.html' target='_blank'>Details</a>,NA,NA,office of management analysis and planning
Archie Van Putten,<a href='https://web.archive.org/web/20171030114744/http://www.nydailynews.com/new-york/bronx/bronx-nypd-precinct-beatings-cost-2-44m-settlements-article-1.3598545' target='_blank'>Details</a>,NA,NA,42
Armando Moronta,<a href='https://web.archive.org/web/20170525225012/http://nypost.com/2017/05/25/federal-prison-officers-charged-with-raping-female-inmates/' target='_blank'>Details</a>,NA,NA,DOC
Arthur Golfphin,<a href='https://web.archive.org/web/20180929200124/https://www.silive.com/news/2018/09/nypd_off-duty_cop_arrested_for.html' target='_blank'>Details</a>,NA,NA,NA
Arthur Roldan,<a href='https://web.archive.org/web/20220414023125/https://gothamist.com/news/ccrb-substantiates-complaints-against-officers-who-drove-into-protestors-during-2020-protests' target='_blank'>Details</a>,NA,NA,NA
Artur Espenberg,<a href='https://web.archive.org/web/20211215210402/https://www.thecity.nyc/2021/3/14/22330463/nypd-commissioners-cleared-guilty-cops-chokeholds-matrix' target='_blank'>Details</a>,NA,NA,NA
Asar Sanad,<a href='https://web.archive.org/web/20180314053026/http://www.nydailynews.com/new-york/documents-shed-light-nypd-secretive-disciplinary-process-article-1.3872914' target='_blank'>Details</a>,NA,NA,NA
Aurora Dumitra,<a href='https://web.archive.org/web/20220716054143/https://www.nydailynews.com/new-york/nyc-crime/ny-nypd-criminalist-lawsuit-20220715-6b2xnzl3njg57j3o3gjawvjxde-story.html' target='_blank'>Details</a>,NA,NA,Questioned Documents Unit
